date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:24:22	93602/93602	---M-Z	200	added ('OK')	text/html	etag:%2216da2-5c2a67157b79c-gzip%22	https://themesbrand.com/minible/layouts/index.html	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/index.html	(from )
10:24:22	278/278	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Jun%202021%2004:54:22%20GMT	https://themesbrand.com/robots.txt		(from )
10:24:23	118550/118550	---M--	200	added ('OK')	image/vnd.microsoft.icon	etag:%221cf16-5c292b33d494b%22	https://themesbrand.com/minible/layouts/assets/images/favicon.ico	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/assets/images/favicon.ico	(from https://themesbrand.com/minible/layouts/index.html)
10:24:23	205519/205519	---M-Z	200	added ('OK')	text/css	etag:%22322cf-5c29304414c6c-gzip%22	https://themesbrand.com/minible/layouts/assets/css/bootstrap.min.css	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/assets/css/bootstrap.min.css	(from https://themesbrand.com/minible/layouts/index.html)
10:24:23	385347/385347	---MCZ	200	added ('OK')	text/css	etag:%225e143-5c292b33c4f45-gzip%22	https://themesbrand.com/minible/layouts/assets/css/icons.min.css	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/assets/css/icons.min.css	(from https://themesbrand.com/minible/layouts/index.html)
10:24:23	80181/80181	---M-Z	200	added ('OK')	text/css	etag:%2213935-5c29304412d2b-gzip%22	https://themesbrand.com/minible/layouts/assets/css/app.min.css	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/assets/css/app.min.css	(from https://themesbrand.com/minible/layouts/index.html)
10:24:23	9913/9913	---M--	200	added ('OK')	image/png	etag:%2226b9-5c292b33da70d%22	https://themesbrand.com/minible/layouts/assets/images/logo-sm.png	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/assets/images/logo-sm.png	(from https://themesbrand.com/minible/layouts/index.html)
10:24:24	15599/15599	---M--	200	added ('OK')	image/png	etag:%223cef-5c292b33da70d%22	https://themesbrand.com/minible/layouts/assets/images/logo-dark.png	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/assets/images/logo-dark.png	(from https://themesbrand.com/minible/layouts/index.html)
10:24:24	15571/15571	---M--	200	added ('OK')	image/png	etag:%223cd3-5c292b33da70d%22	https://themesbrand.com/minible/layouts/assets/images/logo-light.png	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/assets/images/logo-light.png	(from https://themesbrand.com/minible/layouts/index.html)
10:24:24	1242/1242	---M--	200	added ('OK')	image/jpeg	etag:%224da-5c292b33d58eb%22	https://themesbrand.com/minible/layouts/assets/images/flags/us.jpg	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/assets/images/flags/us.jpg	(from https://themesbrand.com/minible/layouts/index.html)
10:24:24	1039/1039	---M--	200	added ('OK')	image/jpeg	etag:%2240f-5c292b33d58eb%22	https://themesbrand.com/minible/layouts/assets/images/flags/spain.jpg	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/assets/images/flags/spain.jpg	(from https://themesbrand.com/minible/layouts/index.html)
10:24:25	663/663	---M--	200	added ('OK')	image/jpeg	etag:%22297-5c292b33d58eb%22	https://themesbrand.com/minible/layouts/assets/images/flags/germany.jpg	C:/Users/Debanjan/Desktop/minibleadmin/themesbrand.com/minible/layouts/assets/images/flags/germany.jpg	(from https://themesbrand.com/minible/layouts/index.html)
